Modern Boston Outlines.kml	Modern Boston Outlines
First and Second Church of Boston	-71.07512270088205,42.35371591318466,0 -71.07513124897802,42.35369683310701,0 -71.07502912062726,42.35349184571015,0 -71.07497882520208,42.35347185888179,0 -71.07444547833741,42.35361120615929,0 -71.07441540391214,42.35364083199686,0 -71.07452733073511,42.35383895056426,0 -71.07463059952163,42.35380820731967,0 -71.07466643566508,42.35374990926404,0 -71.07479554674845,42.35371385014901,0 -71.07497211797576,42.35377000454655,0 -71.07501804741068,42.35372652875812,0 -71.07505819569967,42.3537381857878,0 -71.07512270088205,42.35371591318466,0
37 Newbury Street	-71.07323536014265,42.35250607133306,0 -71.07313285810145,42.35230016404375,0 -71.0731045281063,42.35230690783139,0 -71.07308024198268,42.35226726832469,0 -71.07305391647894,42.35227475236397,0 -71.07304581446543,42.35227998853931,0 -71.07304074980213,42.35228522390179,0 -71.07304074517594,42.35229270057469,0 -71.07304175934168,42.35230018202456,0 -71.07304987515718,42.35232113874841,0 -71.07303266750289,42.35232488447579,0 -71.07313613767462,42.35252934676799,0 -71.07323536014265,42.35250607133306,0
First Lutheran Church	-71.07425786033316,42.35393420203142,0 -71.07418617444331,42.35380186678821,0 -71.0741546767196,42.35380716011859,0 -71.07409738716277,42.3536960085276,0 -71.07405586361783,42.3537087195939,0 -71.07410740428151,42.35380928315372,0 -71.07400568449037,42.35383682741656,0 -71.07397132339555,42.35376483547879,0 -71.07406731804527,42.35373623889961,0 -71.07405586361783,42.3537087195939,0 -71.07388256822901,42.35375849571344,0 -71.07393550461215,42.35386118520231,0 -71.07380244172812,42.35389610078588,0 -71.0738698601325,42.35403682264412,0 -71.07425786033316,42.35393420203142,0
JFK Federal Building	-71.05981278167995,42.36093616753433,0 -71.05995352603652,42.36110884632772,0 -71.05988996014207,42.36113675548819,0 -71.05985783401827,42.36110596004974,0 -71.05968729109208,42.3611896382461,0 -71.05960991332934,42.36122049681035,0 -71.05946438386287,42.3610676570641,0 -71.05915777477504,42.36137803228425,0 -71.05926448992263,42.36149598664679,0 -71.05885351959392,42.36169550351634,0 -71.05874092082334,42.36157440341652,0 -71.05915808281777,42.36137681075959,0 -71.05946434232921,42.3610662864829,0 -71.05807989130926,42.36173844337274,0 -71.05837400890101,42.36206740032431,0 -71.05975691599429,42.36139929899714,0 -71.05965656454502,42.36126904351276,0 -71.05972142226142,42.36124184271158,0 -71.06005071659628,42.3616086272478,0 -71.06024206386108,42.36153440683748,0 -71.06009546312931,42.36135667117951,0 -71.06016540599491,42.36132868584136,0 -71.06018854076304,42.36134920156926,0 -71.06036187892066,42.36127283311962,0 -71.060004175017,42.3608371619311,0 -71.05981278167995,42.36093616753433,0
Government Center Parking Garage	-71.0597566920609,42.36196670964264,0 -71.0579187701573,42.36285997063158,0 -71.05846225961702,42.36325079714339,0 -71.05956169239937,42.36271767854115,0 -71.05971595710683,42.36282456136139,0 -71.05978958628914,42.36277224708063,0 -71.0598094135062,42.36278453298546,0 -71.05982761537066,42.36278567119919,0 -71.05984573634954,42.36277900059206,0 -71.05984708103662,42.36276450579564,0 -71.05984122238658,42.36275154381455,0 -71.05980483746556,42.36272119816621,0 -71.05978260177771,42.36273671788131,0 -71.05975158744037,42.36271656965675,0 -71.05974068953319,42.36272999211359,0 -71.05972421673158,42.36271924419444,0 -71.0597478546931,42.36269777462531,0 -71.05972292410421,42.3626775153467,0 -71.05969313606913,42.36270045193238,0 -71.05965662291598,42.36267096180872,0 -71.06019878863925,42.36241589631761,0 -71.0601854426441,42.36256290866896,0 -71.06020051630858,42.36261411333673,0 -71.06022418886953,42.36265469671127,0 -71.06028534099545,42.36268036064809,0 -71.06034610704039,42.36269105317868,0 -71.0603893692507,42.36268677410711,0 -71.06044411958476,42.36267607867924,0 -71.06049005473399,42.36265256592792,0 -71.06052141767337,42.36261838785052,0 -71.06053272749212,42.36258421813353,0 -71.06053578414098,42.36254574271034,0 -71.06051242430154,42.36250517869347,0 -71.06047137746665,42.36247110754177,0 -71.06043053509094,42.36244557144467,0 -71.06039281039983,42.36243707526523,0 -71.06034360859378,42.36243710154951,0 -71.06029737253324,42.36244351153422,0 -71.06023920456934,42.36239456489714,0 -71.06031398342893,42.36235978611222,0 -71.0597566920609,42.36196670964264,0
Blue Cross/Blue Shield	-71.05674656730163,42.3543929698596,0 -71.05670129722355,42.35413673672559,0 -71.05635430035797,42.35416630967184,0 -71.05640279939036,42.35442556447386,0 -71.05674656730163,42.3543929698596,0
Bosotn CIty Hall	-71.05808386545877,42.36051226105767,0 -71.05786798358046,42.36053273900607,0 -71.05784149578163,42.36033776865986,0 -71.05805101755082,42.36032016942626,0 -71.05808386545877,42.36051226105767,0 -71.05847467793659,42.36074563811944,0 -71.05832049574367,42.35986993439167,0 -71.05740730952786,42.35996038694003,0 -71.05755392088054,42.36082946907764,0 -71.05847169352987,42.360745637318,0 -71.05808386545877,42.36051226105767,0
Boston Five Cents Savings	-71.05878859539524,42.35712491027065,0 -71.05882432262484,42.35736288776379,0 -71.05884070664165,42.35742763236811,0 -71.05887248189386,42.35747013825827,0 -71.05891567463917,42.35750893586344,0 -71.05896839072246,42.35754353760943,0 -71.05902090725807,42.35755666904826,0 -71.05917093236671,42.35725067296198,0 -71.05878859539524,42.35712491027065,0
State Street Bank	-71.05422066461,42.3556409527956,0 -71.0541766046214,42.35566740462767,0 -71.0541293823031,42.35562275294851,0 -71.05344244618036,42.35602424280079,0 -71.05348110203616,42.35605484858489,0 -71.05344795713786,42.35608137667622,0 -71.05381849462484,42.35642474572229,0 -71.05386558951292,42.35639823699551,0 -71.0539044529055,42.35643514911067,0 -71.05457520770059,42.35605071685062,0 -71.05453618160828,42.3560077489766,0 -71.05458892131635,42.35597704355924,0 -71.05422066461,42.3556409527956,0
Federal Reserve Building	-71.05396369108624,42.35237468095666,0 -71.05358772151074,42.35286664370346,0 -71.0538907225083,42.35298824053097,0 -71.05426965700053,42.35249112060531,0 -71.05396369108624,42.35237468095666,0
70 Federal Street	-71.05638161908411,42.3557523837241,0 -71.0563555616432,42.35559601634306,0 -71.05588392976802,42.35567570941931,0 -71.0558727439342,42.3557057569083,0 -71.05600272965071,42.35580170834002,0 -71.05638161908411,42.3557523837241,0
Museum of Science	-71.07239121697199,42.36779916325605,0 -71.07228323555795,42.36791972854069,0 -71.07223365086746,42.36789685984144,0 -71.07226867557301,42.3678514297262,0 -71.07198328044301,42.36769823387601,0 -71.07202147927761,42.36766863761363,0 -71.07194120096881,42.36762749654316,0 -71.07207498922288,42.36749933640957,0 -71.07157927280075,42.36725223983172,0 -71.07143963961475,42.36738064805489,0 -71.07137774615998,42.36734409229381,0 -71.07132810584373,42.36737862584192,0 -71.07121991553552,42.36731943752002,0 -71.07123847727686,42.36729182039753,0 -71.071167396207,42.36725095060339,0 -71.07121687781962,42.36719738051848,0 -71.07096921867267,42.36708327396795,0 -71.07087826143847,42.36718415138969,0 -71.07029543345725,42.36687195763813,0 -71.07034052037571,42.36680752785532,0 -71.07032042038512,42.36673320190458,0 -71.07023406938917,42.36668986793599,0 -71.07012730137788,42.36669531636372,0 -71.07007045966431,42.3667625071627,0 -71.06999630260013,42.36672130955192,0 -71.06996169399916,42.36676131468394,0 -71.06998015289263,42.36677494595713,0 -71.06971792558271,42.36704554833094,0 -71.0697763399627,42.36707276321353,0 -71.069773611995,42.36709091437037,0 -71.06977416999496,42.36712490933321,0 -71.06979907545076,42.36716562036325,0 -71.06984817748342,42.36721075508709,0 -71.07099704555431,42.36779843836969,0 -71.07110949469808,42.3676725610384,0 -71.07171182717916,42.36797500978055,0 -71.07172121357783,42.36795934454363,0 -71.07205969194625,42.3681273448992,0 -71.07188417409286,42.36833977491982,0 -71.07276353848266,42.36878803073567,0 -71.07330928263347,42.36824802099645,0 -71.07239121697199,42.36779916325605,0
