Shop Outlines.kml	Shop Outlines
Black Ink - Beacon Hill	-71.07062218954289,42.35902298670943,0 -71.07062399298545,42.3589677180064,0 -71.07035484789516,42.35897955059065,0 -71.07036005075604,42.35903416556729,0 -71.07062218954289,42.35902298670943,0
Machine Age	-71.04065687360279,42.34113226606681,0 -71.0394881450507,42.34219777674136,0 -71.03992055674097,42.34246029354112,0 -71.04109788710208,42.34139104434689,0 -71.04065687360279,42.34113226606681,0
Abodeon	-71.11925460277509,42.38441532631231,0 -71.11928135793352,42.38417287296795,0 -71.11910349836445,42.38416211874201,0 -71.11908356658965,42.38440691189858,0 -71.11925460277509,42.38441532631231,0
Black Ink - Cambridge	-71.11938538400248,42.37358108164978,0 -71.11932218820566,42.37368890896557,0 -71.11966322687846,42.37380407360521,0 -71.1197393363642,42.37369221226449,0 -71.11938538400248,42.37358108164978,0
Grand	-71.09972490591375,42.38116066112904,0 -71.09983927087225,42.38097178378108,0 -71.09968714071852,42.38092505499578,0 -71.09958213282363,42.38111066919771,0 -71.09972490591375,42.38116066112904,0
Louis	-71.04446380407538,42.35453393870223,0 -71.04465517636564,42.3542933869721,0 -71.04451473903211,42.35422796989915,0 -71.04463118501276,42.35408646512781,0 -71.04437221992976,42.35397028906728,0 -71.04411573705973,42.35426842984147,0 -71.04431104527171,42.35435861869614,0 -71.04425442393587,42.3544366633859,0 -71.04446380407538,42.35453393870223,0
Front	-71.0510815893722,42.34528718967223,0 -71.05148445327707,42.34545058901784,0 -71.05190532507747,42.34488671328351,0 -71.05150592196917,42.34470557590102,0 -71.0510815893722,42.34528718967223,0
Lekker	-71.06865382020102,42.34187113671833,0 -71.06880008521738,42.34200745541869,0 -71.06894659980931,42.34194810529668,0 -71.06880879739332,42.34180775067205,0 -71.06865382020102,42.34187113671833,0
Kartell	-71.07151169616002,42.35061763686503,0 -71.07135877112418,42.35030320136901,0 -71.07116343114284,42.35035431544491,0 -71.07132027682988,42.35067040732307,0 -71.07151169616002,42.35061763686503,0
Good	-71.07096497540027,42.35836154501259,0 -71.07088885902962,42.35821891741338,0 -71.07071420377891,42.35827401078395,0 -71.07079601792837,42.35841335123788,0 -71.07096497540027,42.35836154501259,0
Koo de Kir	-71.07030066269148,42.35702899319449,0 -71.07026972720098,42.35697255140469,0 -71.07013185164129,42.35700498074183,0 -71.07016592347492,42.35706987128492,0 -71.07030066269148,42.35702899319449,0
Addo Novo	-71.06880047600073,42.34200687962031,0 -71.06865583050592,42.34187271643441,0 -71.06847693239209,42.34194259794179,0 -71.06863639471602,42.34207841670067,0 -71.06880047600073,42.34200687962031,0
Uniform	-71.07028278838602,42.34507509162189,0 -71.07029848551672,42.34510179396125,0 -71.07056969015568,42.34502779320356,0 -71.07048770767361,42.34486119284555,0 -71.07028278838602,42.34507509162189,0
Bodega	-71.08657206890146,42.34547348649,0 -71.08645641846756,42.34545531839854,0 -71.08642034859794,42.34558525805661,0 -71.08653576490943,42.34560341114998,0 -71.08657206890146,42.34547348649,0
