New Boston,MAP,Building,Address,Location,Architect,Date,Polygon Coordinates
1,D4,360 Newbury Street,360 Newbury St,Back Bay,Frank O. Gehry with Schwartz / Silver Architects,1989,"-71.08816665616381,42.34806503587846,0 -71.08802079535693,42.34780597268595,0 -71.08751815417851,42.34779011258249,0 -71.08771232800474,42.34818773331149,0 -71.08816665616381,42.34806503587846,0"
2,I6,557/559 East Second Street,557/559 East Second St,South Boston,Utile,2005-2006,"-71.04099185554642,42.33715384196017,0 -71.04099314422669,42.33694601351228,0 -71.04066869304349,42.33694801544098,0 -71.04066834310781,42.33716123048078,0 -71.04079449123807,42.33715961457108,0 -71.04079314577184,42.33694744659043,0 -71.04087211190617,42.33694620944598,0 -71.04087073715873,42.33715543765994,0 -71.04099185554642,42.33715384196017,0"
3,E4,Apple Store,815 Boylston St,Back Bay,Bohlin Cywinski Jackson,2008,"-71.08252927870986,42.34887499566194,0 -71.08234638157674,42.34892137042591,0 -71.08247286034859,42.34917944747436,0 -71.08265551243025,42.34913105909587,0 -71.08252927870986,42.34887499566194,0"
4,F5,Atelier 505,505 Tremont St,South End,Machado and Silvetti Associates,2004,"-71.07132686791449,42.34504492339529,0 -71.07102155420228,42.3444593593943,0 -71.07096644588603,42.34446283129362,0 -71.07091695872491,42.34449045460565,0 -71.07093938318499,42.34451598956736,0 -71.07090577995339,42.34455188871715,0 -71.0708581488298,42.34455811627289,0 -71.07082454737566,42.34459194049646,0 -71.07077318424783,42.34460299855981,0 -71.07073770625441,42.34463338146701,0 -71.07069194618717,42.34464721476881,0 -71.07072745398571,42.34468170138931,0 -71.07073027012071,42.34471207035826,0 -71.07075830673986,42.3447403620059,0 -71.07076206881723,42.34478937514231,0 -71.0704885320942,42.34486052191394,0 -71.07057039391439,42.34502733014941,0 -71.07029780225352,42.34510254186569,0 -71.07025541501893,42.34511588967076,0 -71.07036128504203,42.34532941851405,0 -71.07070107755182,42.34523929674179,0 -71.07069011653418,42.34521479978409,0 -71.07132686791449,42.34504492339529,0"
5,H3,Boston Harbor Islands Pavilion,Rose Kennedy Greenway,Greenway,Utile,2011,"-71.05221591505304,42.3602197589928,0 -71.05243480251562,42.36016588092942,0 -71.05231523815044,42.35995558146741,0 -71.05220642861363,42.3599791504875,0 -71.05226084202897,42.3598931923361,0 -71.05207504692117,42.35982933253841,0 -71.05201644146557,42.35993344939316,0 -71.05216139424981,42.35999026465807,0 -71.05210501539982,42.36000563454238,0 -71.05221591505304,42.3602197589928,0"
6,G4,BSA Space,286 Congress St,Downtown,Höweler + Yoon Architecture,2011,"-71.05238933701676,42.35275198631752,0 -71.05197508609093,42.35311223238008,0 -71.05250909691102,42.35365863325754,0 -71.05303790872482,42.3533788530501,0 -71.05238933701676,42.35275198631752,0"
7,B1,Cambridge Public Library,449 Broadway,Mid-Cambridge,"Van Brunt and Howe, William Rawn Associates, Ann Beha Architects","1888, 2010","-71.11074782606219,42.37434677948153,0 -71.11087906498454,42.37415425064107,0 -71.11100806506579,42.37420277352297,0 -71.11109448798304,42.37407349272929,0 -71.11096552560919,42.37402113307018,0 -71.11094976131477,42.37402308340007,0 -71.11093925570752,42.37402600164203,0 -71.11093006652203,42.37402989020735,0 -71.11070259601789,42.37393773995952,0 -71.1106789393569,42.37394066126121,0 -71.1106631671812,42.37394357705578,0 -71.11064477635487,42.37395426449713,0 -71.11063558175034,42.3739649579635,0 -71.11063164936589,42.37397759047144,0 -71.11052501077282,42.37393663846666,0 -71.1105684179324,42.37387646276503,0 -71.10998394578397,42.37364449052129,0 -71.10993779345971,42.37370293763438,0 -71.10994283786701,42.37378853136295,0 -71.10995865049277,42.37379338441489,0 -71.10994269972858,42.37384012530804,0 -71.10993077868963,42.37383621781007,0 -71.1099057699841,42.37393471701529,0 -71.11039909896094,42.37412828333942,0 -71.11046450870991,42.37403006510381,0 -71.11061072520378,42.37409028321697,0 -71.11059103091833,42.37411457708991,0 -71.11056209622598,42.37410390806134,0 -71.11051613939118,42.37417096901546,0 -71.11063322521082,42.37422045466459,0 -71.11066210645056,42.37417671582965,0 -71.11069763188151,42.37419030260858,0 -71.11062411455946,42.37429921239448,0 -71.11064122588404,42.37430795605797,0 -71.11063466135408,42.37431768881531,0 -71.11063730688723,42.37432936345611,0 -71.11064258288422,42.37433909374981,0 -71.11065180602186,42.37434978788298,0 -71.11066759351161,42.37435268260646,0 -71.11068206203106,42.37435266536468,0 -71.11069521074837,42.37434973223041,0 -71.11070835290143,42.37434290921935,0 -71.11071623388612,42.37433609276019,0 -71.11074782606219,42.37434677948153,0"
8,A3,Community Rowing Boathouse,20 Nonantum Road,Brighton,Anmahian Winton Architects,2008,"-71.16581550932297,42.3586397486833,0 -71.16560231540828,42.35851500770448,0 -71.16556724573735,42.35855205470187,0 -71.16562374425781,42.35859272868016,0 -71.16560997448389,42.35860848634319,0 -71.16546066288763,42.35849476987084,0 -71.16534347745488,42.35857916000131,0 -71.16586546374312,42.35896401172226,0 -71.16605603511702,42.35882066694211,0 -71.16581550932297,42.3586397486833,0"
9,A1,Fogg Museum,32 Quincy St,Harvard,"Coolidge, Shepley, Bulfinch, and Abbott, Renzo Piano","1925, 2012","-71.11437241997417,42.3745047919393,0 -71.11452568676653,42.37387394716897,0 -71.11431248045524,42.373840202191,0 -71.11428087677251,42.37398032194871,0 -71.11403205040715,42.37394460963593,0 -71.11394589139611,42.37428783783866,0 -71.114187276322,42.37432564758706,0 -71.11414425006443,42.37446860967276,0 -71.11437241997417,42.3745047919393,0"
10,H4,FP3,346 Congress St,Seaport District,Hacin+Associates,2008,"-71.04832287059516,42.350811752436,0 -71.04867092701585,42.35099408407309,0 -71.04884617279036,42.35076635442533,0 -71.04857533636573,42.35058502893776,0 -71.04832287059516,42.350811752436,0"
